,Strike,Signal_Type,Candle_Start_Time,Candle_End_Time,Signal_Time,Signal_Price,New_Signal,Timeframe
39,BANKNIFTY2161734500PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:07.709384,46.85,NA,5minute
40,BANKNIFTY2161734400PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:07.914260,39.65,NA,5minute
41,BANKNIFTY2161734300PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:08.119620,32.05,NA,5minute
42,BANKNIFTY2161734200PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:08.322714,26.45,NA,5minute
43,BANKNIFTY2161734100PE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:08.613095,22.75,NA,5minute
44,NIFTY2161715800CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 11:00:08.973633,54.15,NA,5minute
45,NIFTY2161715850CE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:09.156266,33.6,NA,5minute
46,NIFTY2161715900CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 11:00:09.358548,19.95,NA,5minute
47,NIFTY2161716100CE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:10.239989,3.3,NA,5minute
48,NIFTY2161716250CE,1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:10.812984,2.3,NA,5minute
49,NIFTY2161715600PE,1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 11:00:11.399655,10.8,NA,5minute
50,NIFTY2161715300PE,-1,2021-06-16 11:00:00+05:30,2021-06-16 11:00:00+05:30,2021-06-16 11:00:12.551423,3.0,NA,5minute
51,BANKNIFTY2161735200CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 11:00:13.081229,169.35,NA,5minute
52,BANKNIFTY2161735300CE,-1,2021-06-16 10:55:00+05:30,2021-06-16 10:55:00+05:30,2021-06-16 11:00:13.284323,128.35,NA,5minute
